ts_date,claim_amount
2021-01-01,
2021-01-01,
2021-01-01,
2021-01-01,
2021-01-01,
2021-01-01,
2021-01-01,
2021-01-01,
2021-01-01,
2021-01-01,
2021-01-01,
2021-01-02,18750.0
2021-01-02,715262.0
2021-01-02,
2021-01-02,
2021-01-02,
2021-01-02,
2021-01-02,
2021-01-02,
2021-01-02,138537.0
2021-01-02,
2021-01-03,
2021-01-03,
2021-01-03,
2021-01-03,
2021-01-03,
2021-01-03,
2021-01-03,
2021-01-03,
2021-01-03,195122.0
2021-01-03,
2021-01-04,
2021-01-04,155848.0
2021-01-04,
2021-01-04,
2021-01-04,
2021-01-04,
2021-01-04,
2021-01-04,
2021-01-05,17940.0
2021-01-05,
2021-01-05,
2021-01-05,
2021-01-05,
2021-01-05,
2021-01-05,
2021-01-05,
2021-01-06,
2021-01-06,
2021-01-06,
2021-01-06,
2021-01-06,
2021-01-06,
2021-01-06,
2021-01-06,
2021-01-07,
2021-01-07,
2021-01-07,
2021-01-07,
2021-01-07,
2021-01-07,
2021-01-07,
2021-01-07,
2021-01-07,
2021-01-07,
2021-01-08,683019.0
2021-01-08,
2021-01-08,
2021-01-08,
2021-01-08,
2021-01-08,
2021-01-08,
2021-01-08,
2021-01-08,
2021-01-09,
2021-01-09,
2021-01-09,
2021-01-09,
2021-01-09,
2021-01-09,
2021-01-09,
2021-01-09,
2021-01-09,
2021-01-09,
2021-01-09,
2021-01-09,
2021-01-10,219167.0
2021-01-10,
2021-01-10,81698.0
2021-01-10,
2021-01-10,
2021-01-10,
2021-01-10,
2021-01-10,
2021-01-10,253310.0
2021-01-11,
2021-01-11,
2021-01-11,
2021-01-11,
2021-01-11,311924.0
2021-01-11,
2021-01-11,
2021-01-11,
2021-01-11,
2021-01-11,
2021-01-11,
2021-01-11,
2021-01-12,
2021-01-12,
2021-01-12,
2021-01-12,
2021-01-12,
2021-01-12,243191.0
2021-01-12,
2021-01-12,
2021-01-13,73965.0
2021-01-13,
2021-01-13,
2021-01-13,
2021-01-13,
2021-01-13,
2021-01-14,409493.0
2021-01-14,
2021-01-14,
2021-01-14,
2021-01-14,
2021-01-14,
2021-01-14,
2021-01-14,
2021-01-14,
2021-01-14,
2021-01-14,
2021-01-14,
2021-01-14,523737.0
2021-01-15,
2021-01-15,
2021-01-15,
2021-01-15,
2021-01-15,
2021-01-15,
2021-01-15,
2021-01-15,
2021-01-15,570968.0
2021-01-16,
2021-01-16,
2021-01-16,
2021-01-16,
2021-01-16,
2021-01-16,102829.0
2021-01-16,
2021-01-16,
2021-01-17,
2021-01-17,
2021-01-17,
2021-01-17,
2021-01-18,
2021-01-18,
2021-01-18,
2021-01-18,70539.0
2021-01-18,
2021-01-18,
2021-01-18,389724.0
2021-01-18,
2021-01-18,49759.0
2021-01-18,
2021-01-18,
2021-01-18,18873.0
2021-01-19,
2021-01-19,
2021-01-19,
2021-01-19,
2021-01-19,357084.0
2021-01-19,
2021-01-19,
2021-01-19,
2021-01-20,
2021-01-20,
2021-01-20,
2021-01-20,
2021-01-21,
2021-01-21,
2021-01-21,
2021-01-21,
2021-01-21,
2021-01-21,
2021-01-21,
2021-01-22,
2021-01-22,
2021-01-22,
2021-01-22,
2021-01-22,112229.0
2021-01-22,
2021-01-22,
2021-01-23,
2021-01-23,
2021-01-23,
2021-01-23,
2021-01-23,
2021-01-23,
2021-01-24,
2021-01-24,
2021-01-24,
2021-01-24,
2021-01-24,
2021-01-24,
2021-01-24,
2021-01-24,
2021-01-24,
2021-01-24,
2021-01-24,
2021-01-24,
2021-01-25,
2021-01-25,
2021-01-25,
2021-01-25,
2021-01-25,
2021-01-25,228410.0
2021-01-25,
2021-01-26,
2021-01-26,
2021-01-26,
2021-01-26,
2021-01-27,
2021-01-27,
2021-01-27,77491.0
2021-01-27,
2021-01-27,
2021-01-27,
2021-01-27,381770.0
2021-01-28,
2021-01-28,609017.0
2021-01-28,
2021-01-28,
2021-01-28,
2021-01-28,
2021-01-28,270988.0
2021-01-28,
2021-01-29,
2021-01-29,31244.0
2021-01-29,
2021-01-29,
2021-01-29,
2021-01-29,520212.0
2021-01-29,
2021-01-29,
2021-01-29,
2021-01-29,
2021-01-29,326139.0
2021-01-30,
2021-01-30,
2021-01-30,
2021-01-30,
2021-01-30,89017.0
2021-01-30,
2021-01-30,
2021-01-30,
2021-01-30,
2021-01-30,532628.0
2021-01-30,
2021-01-31,
2021-01-31,
2021-01-31,
2021-01-31,
2021-01-31,
2021-01-31,
2021-01-31,
2021-01-31,
2021-02-01,
2021-02-01,
2021-02-01,
2021-02-01,
2021-02-01,
2021-02-01,
2021-02-01,
2021-02-01,
2021-02-01,
2021-02-01,
2021-02-02,
2021-02-02,
2021-02-02,
2021-02-02,
2021-02-02,
2021-02-03,
2021-02-03,
2021-02-03,
2021-02-03,
2021-02-03,
2021-02-03,
2021-02-03,
2021-02-04,
2021-02-04,347373.0
2021-02-04,
2021-02-04,
2021-02-04,179012.0
2021-02-04,
2021-02-04,
2021-02-05,
2021-02-05,
2021-02-05,
2021-02-05,
2021-02-06,
2021-02-06,
2021-02-06,
2021-02-06,
2021-02-06,
2021-02-06,
2021-02-07,
2021-02-07,
2021-02-07,32344.0
2021-02-07,
2021-02-07,
2021-02-07,
2021-02-07,
2021-02-07,
2021-02-07,204950.0
2021-02-07,
2021-02-07,
2021-02-08,
2021-02-08,
2021-02-08,
2021-02-08,
2021-02-08,
2021-02-08,
2021-02-08,5711.0
2021-02-09,
2021-02-09,
2021-02-09,
2021-02-09,
2021-02-09,55385.0
2021-02-09,26532.0
2021-02-09,
2021-02-09,
2021-02-09,
2021-02-09,
2021-02-09,
2021-02-09,
2021-02-09,104752.0
2021-02-09,
2021-02-10,
2021-02-10,
2021-02-10,
2021-02-10,
2021-02-10,276836.0
2021-02-10,
2021-02-10,
2021-02-10,88160.0
2021-02-10,
2021-02-10,
2021-02-10,
2021-02-10,
2021-02-10,
2021-02-11,
2021-02-11,
2021-02-11,
2021-02-11,
2021-02-11,
2021-02-11,
2021-02-11,
2021-02-11,
2021-02-11,
2021-02-11,
2021-02-11,
2021-02-12,
2021-02-12,
2021-02-12,
2021-02-12,
2021-02-12,
2021-02-12,
2021-02-12,181727.0
2021-02-13,
2021-02-13,
2021-02-13,
2021-02-13,
2021-02-13,
2021-02-13,
2021-02-14,
2021-02-14,
2021-02-14,
2021-02-14,
2021-02-14,283734.0
2021-02-15,
2021-02-15,
2021-02-15,
2021-02-15,
2021-02-15,55530.0
2021-02-15,
2021-02-16,242816.0
2021-02-16,
2021-02-16,
2021-02-16,
2021-02-16,
2021-02-16,
2021-02-16,
2021-02-16,
2021-02-16,
2021-02-16,
2021-02-17,
2021-02-17,
2021-02-17,
2021-02-17,
2021-02-17,
2021-02-17,
2021-02-17,
2021-02-17,
2021-02-17,
2021-02-17,
2021-02-17,
2021-02-17,
2021-02-18,
2021-02-18,
2021-02-18,
2021-02-18,
2021-02-18,
2021-02-18,
2021-02-18,
2021-02-18,77449.0
2021-02-18,
2021-02-18,
2021-02-18,
2021-02-19,
2021-02-19,
2021-02-19,
2021-02-19,
2021-02-19,455024.0
2021-02-20,
2021-02-20,
2021-02-20,
2021-02-20,
2021-02-20,
2021-02-20,
2021-02-20,10790.0
2021-02-21,258681.0
2021-02-21,251928.0
2021-02-21,
2021-02-21,
2021-02-21,
2021-02-21,
2021-02-21,
2021-02-21,249335.0
2021-02-21,196664.0
2021-02-21,
2021-02-21,
2021-02-22,
2021-02-22,
2021-02-22,
2021-02-22,
2021-02-22,
2021-02-22,61852.0
2021-02-22,
2021-02-22,
2021-02-22,
2021-02-22,
2021-02-22,
2021-02-22,437358.0
2021-02-22,440352.0
2021-02-23,
2021-02-23,
2021-02-23,
2021-02-23,
2021-02-23,
2021-02-23,
2021-02-23,
2021-02-23,
2021-02-23,
2021-02-23,
2021-02-23,
2021-02-24,
2021-02-24,270959.0
2021-02-24,460928.0
2021-02-24,
2021-02-24,
2021-02-24,
2021-02-25,88392.0
2021-02-25,
2021-02-25,
2021-02-25,
2021-02-25,
2021-02-25,
2021-02-25,
2021-02-25,
2021-02-25,252335.0
2021-02-25,
2021-02-25,
2021-02-26,
2021-02-26,
2021-02-26,
2021-02-26,
2021-02-26,
2021-02-26,
2021-02-26,
2021-02-26,
2021-02-26,
2021-02-26,
2021-02-26,
2021-02-27,
2021-02-27,
2021-02-27,
2021-02-27,
2021-02-27,
2021-02-28,
2021-02-28,
2021-02-28,
2021-02-28,
2021-02-28,
2021-02-28,
2021-02-28,
2021-02-28,192361.0
2021-03-01,
2021-03-01,
2021-03-01,
2021-03-01,
2021-03-01,
2021-03-01,
2021-03-01,
2021-03-01,
2021-03-01,
2021-03-01,
2021-03-01,
2021-03-01,
2021-03-02,
2021-03-02,
2021-03-02,
2021-03-02,
2021-03-02,
2021-03-02,
2021-03-02,
2021-03-02,
2021-03-02,
2021-03-02,
2021-03-02,
2021-03-03,
2021-03-03,
2021-03-03,
2021-03-03,
2021-03-03,
2021-03-03,
2021-03-03,
2021-03-03,
2021-03-03,
2021-03-03,
2021-03-03,
2021-03-04,
2021-03-04,
2021-03-04,
2021-03-04,
2021-03-04,
2021-03-04,
2021-03-04,
2021-03-04,
2021-03-04,
2021-03-04,
2021-03-04,
2021-03-05,
2021-03-05,
2021-03-05,
2021-03-05,
2021-03-05,
2021-03-05,
2021-03-06,184351.0
2021-03-06,571538.0
2021-03-06,
2021-03-06,
2021-03-06,142132.0
2021-03-06,311572.0
2021-03-06,
2021-03-06,
2021-03-06,
2021-03-06,
2021-03-07,
2021-03-07,
2021-03-07,
2021-03-07,6094.0
2021-03-07,
2021-03-07,
2021-03-07,
2021-03-07,
2021-03-07,
2021-03-07,
2021-03-07,
2021-03-07,
2021-03-08,
2021-03-08,279954.0
2021-03-08,
2021-03-08,
2021-03-08,
2021-03-08,105813.0
2021-03-08,
2021-03-08,
2021-03-09,
2021-03-09,
2021-03-09,
2021-03-09,89292.0
2021-03-09,137767.0
2021-03-09,
2021-03-09,
2021-03-09,137814.0
2021-03-10,129686.0
2021-03-10,
2021-03-10,
2021-03-10,
2021-03-10,
2021-03-10,
2021-03-10,
2021-03-10,
2021-03-11,
2021-03-11,
2021-03-11,108668.0
2021-03-11,
2021-03-11,
2021-03-11,
2021-03-12,
2021-03-12,
2021-03-12,
2021-03-12,
2021-03-12,
2021-03-12,
2021-03-12,
2021-03-12,
