ts,y_hat
2025-01-01,438492.5
2025-01-02,504568.28125
2025-01-03,499946.65625
2025-01-04,432615.3125
2025-01-05,485273.09375
2025-01-06,392636.71875
2025-01-07,407664.03125
2025-01-08,496316.5
2025-01-09,485474.0
2025-01-10,510997.375
2025-01-11,477897.78125
2025-01-12,478043.125
2025-01-13,393029.09375
2025-01-14,407664.03125
2025-01-15,496316.5
2025-01-16,485474.0
2025-01-17,510997.375
2025-01-18,477897.78125
2025-01-19,478043.125
2025-01-20,393029.09375
2025-01-21,407664.03125
2025-01-22,496316.5
2025-01-23,485474.0
2025-01-24,510997.375
2025-01-25,477897.78125
2025-01-26,478043.125
2025-01-27,393029.09375
2025-01-28,407664.03125
2025-01-29,496316.5
2025-01-30,485474.0
